,block,street_name,latitude,longitude
517,674B,JURONG WEST ST 65,,
518,330,TAH CHING RD,,
519,655B,JURONG WEST ST 61,,
520,682C,JURONG WEST CTRL 1,,
521,619,JURONG WEST ST 65,,
522,657A,JURONG WEST ST 65,,
523,257,BOON LAY DR,,
524,640,JURONG WEST ST 61,,
525,664A,JURONG WEST ST 64,,
526,648B,JURONG WEST ST 61,,
527,668D,JURONG WEST ST 64,,
528,663C,JURONG WEST ST 65,,
529,602,JURONG WEST ST 62,,
530,663D,JURONG WEST ST 65,,
531,476,JURONG WEST ST 41,,
532,681C,JURONG WEST CTRL 1,,
533,987C,JURONG WEST ST 93,,
534,934,JURONG WEST ST 91,,
535,271B,JURONG WEST ST 24,,
536,902,JURONG WEST ST 91,,
537,273C,JURONG WEST AVE 3,,
538,272A,JURONG WEST ST 24,,
539,821,JURONG WEST ST 81,,
540,818,JURONG WEST ST 81,,
541,843,JURONG WEST ST 81,,
542,673C,JURONG WEST ST 65,,
543,676B,JURONG WEST ST 64,,
544,198,BOON LAY DR,,
545,401,JURONG WEST ST 42,,
546,675B,JURONG WEST ST 64,,
547,605,JURONG WEST ST 62,,
548,659A,JURONG WEST ST 65,,
549,656A,JURONG WEST ST 61,,
550,653A,JURONG WEST ST 61,,
551,610,JURONG WEST ST 65,,
552,659B,JURONG WEST ST 65,,
553,683C,JURONG WEST ST 64,,
554,517C,JURONG WEST ST 52,,
555,274A,JURONG WEST AVE 3,,
556,906,JURONG WEST ST 91,,
557,714,JURONG WEST ST 71,,
558,671C,JURONG WEST ST 65,,
559,558,JURONG WEST ST 42,,
560,685A,JURONG WEST ST 64,,
561,628,JURONG WEST ST 65,,
562,609,JURONG WEST ST 65,,
563,666B,JURONG WEST ST 65,,
564,683A,JURONG WEST CTRL 1,,
565,7,JLN BATU,,
566,27,JLN BAHAGIA,,
567,76,LOR LIMAU,,
568,3,ST. GEORGE'S RD,1.3225873518737,103.861107276991
569,67,KALLANG BAHRU,,
570,49,DORSET RD,,
571,57,GEYLANG BAHRU,,
572,30,BENDEMEER RD,,
573,6,JLN BATU,,
574,74,WHAMPOA DR,,
575,11,UPP BOON KENG RD,,
576,93,GEYLANG BAHRU,,
577,685,RACE COURSE RD,,
578,46,OWEN RD,,
579,16,UPP BOON KENG RD,,
